question,ground_truth,contexts,evolution_type
How long does account closure take?,Account closure is processed within 5 business days.,"[""### Password Policy\nPasswords must be at least 8 characters long, containing uppercase, lowercase, numbers, and special characters. Passwords expire every 90 days and cannot be reused for 12 cycles. Account lockout occurs after 5 consecutive failed login attempts."", ""### Account Closure\nAccount closure requires a written request and valid identification. Outstanding loans and credit card balances must be settled before closure. Remaining balance is transferred to a designated account or paid by cashier's check. Account closure is processed within 5 business days.\n\n## Security Policies"", ""### Data Protection\nCustomer data is encrypted using AES-256 at rest and TLS 1.3 in transit. Data retention period is 10 years after account closure as required by Vietnamese banking regulations. The bank complies with Circular 09/2020/TT-NHNN on information technology risk management.""]",simple
What is the password expiry period?,Passwords expire every 90 days and cannot be reused for 12 cycles.,"[""### Standard Credit Card\nThe standard credit card has an annual fee of 300,000 VND with a credit limit from 10 million to 100 million VND. The interest-free period is 45 days for full payment. Cash advance fee is 3% of the transaction amount with a minimum of 50,000 VND. Late payment penalty is 4% of the minimum payment amount."", ""### Data Protection\nCustomer data is encrypted using AES-256 at rest and TLS 1.3 in transit. Data retention period is 10 years after account closure as required by Vietnamese banking regulations. The bank complies with Circular 09/2020/TT-NHNN on information technology risk management."", ""### Password Policy\nPasswords must be at least 8 characters long, containing uppercase, lowercase, numbers, and special characters. Passwords expire every 90 days and cannot be reused for 12 cycles. Account lockout occurs after 5 consecutive failed login attempts.""]",simple
Lãi suất tiền gửi được điều chỉnh bao lâu một lần?,Lãi suất tiền gửi được điều chỉnh hàng quý dựa trên lãi suất cơ bản của NHNN.,"[""## Chính Sách Lãi Suất\n\n### Lãi Suất Tiền Gửi\nLãi suất tiền gửi được điều chỉnh hàng quý dựa trên lãi suất cơ bản của NHNN. Biên độ dao động từ +0.5% đến +2.5% tùy theo kỳ hạn và số dư. Lãi suất ưu đãi áp dụng cho khách hàng VIP với số dư trên 1 tỷ VND."", ""### Phân Loại Khiếu Nại\nKhiếu nại được phân thành 3 cấp độ: Cấp 1 (đơn giản, xử lý trong 3 ngày), Cấp 2 (phức tạp, xử lý trong 7 ngày), Cấp 3 (nghiêm trọng, xử lý trong 15 ngày). Khiếu nại liên quan đến gian lận tài chính luôn được phân loại Cấp 3.\n\n### Bồi Thường và Đền Bù\nTrường hợp lỗi do ngân hàng, khách hàng được hoàn trả 100% số tiền bị ảnh hưởng cộng lãi suất phạt 150% lãi suất tiết kiệm hiện hành. Thời gian hoàn tiền không quá 5 ngày làm việc kể từ khi xác nhận lỗi."", ""### Lãi Suất Cho Vay\nLãi suất cho vay được tính theo công thức: Lãi suất cơ bản + Biên độ rủi ro + Phí quản lý. Biên độ rủi ro dao động từ 1% đến 5% tùy theo xếp hạng tín dụng của khách hàng. Khách hàng có lịch sử tín dụng tốt (xếp hạng A trở lên) được giảm 0.5% biên độ.\n\n## Quy Trình Phê Duyệt Tín Dụng""]",simple
Thời gian phản hồi khiếu nại ban đầu là bao lâu?,Thời gian phản hồi ban đầu không quá 24 giờ làm việc.,"[""# Chính Sách Ngân Hàng — Hướng Dẫn Nội Bộ\n\n## Quy Trình Xử Lý Khiếu Nại\n\n### Tiếp Nhận Khiếu Nại\nKhiếu nại của khách hàng được tiếp nhận qua 4 kênh: quầy giao dịch, tổng đài 1900-xxxx, email support@bank.vn, và ứng dụng mobile banking. Thời gian phản hồi ban đầu không quá 24 giờ làm việc. Mỗi khiếu nại được gán mã số và theo dõi trên hệ thống CRM."", ""### Phân Loại Khiếu Nại\nKhiếu nại được phân thành 3 cấp độ: Cấp 1 (đơn giản, xử lý trong 3 ngày), Cấp 2 (phức tạp, xử lý trong 7 ngày), Cấp 3 (nghiêm trọng, xử lý trong 15 ngày). Khiếu nại liên quan đến gian lận tài chính luôn được phân loại Cấp 3.\n\n### Bồi Thường và Đền Bù\nTrường hợp lỗi do ngân hàng, khách hàng được hoàn trả 100% số tiền bị ảnh hưởng cộng lãi suất phạt 150% lãi suất tiết kiệm hiện hành. Thời gian hoàn tiền không quá 5 ngày làm việc kể từ khi xác nhận lỗi."", ""### Phòng Chống Rửa Tiền (AML)\nNgân hàng tuân thủ Luật Phòng chống rửa tiền 2022. Giao dịch tiền mặt từ 300 triệu VND trở lên phải báo cáo cho Cục Phòng chống rửa tiền. Hệ thống giám sát tự động phát hiện các mẫu giao dịch bất thường và gian lận.\n\n### Sao Lưu và Phục Hồi\nDữ liệu được sao lưu hàng ngày tại 2 trung tâm dữ liệu khác nhau. Thời gian phục hồi mục tiêu (RTO) là 4 giờ và điểm phục hồi mục tiêu (RPO) là 1 giờ. Kiểm thử khôi phục thảm họa được thực hiện 2 lần mỗi năm.""]",simple
What is the foreign transaction fee for credit cards?,Foreign transaction fee is 2.5%.,"[""### Standard Credit Card\nThe standard credit card has an annual fee of 300,000 VND with a credit limit from 10 million to 100 million VND. The interest-free period is 45 days for full payment. Cash advance fee is 3% of the transaction amount with a minimum of 50,000 VND. Late payment penalty is 4% of the minimum payment amount."", ""### Credit Card Fees\n- Standard annual fee: 300,000 VND\n- Premium annual fee: 1,500,000 VND\n- Late payment penalty: 4% of minimum payment\n- Cash advance: 3% (min 50,000 VND)\n- Foreign transaction fee: 2.5%\n- Over-limit fee: 200,000 VND\n- Card replacement: 150,000 VND\n\n## Loan Fees\n\n### Processing Fees\n- Personal loan processing: 1% of loan amount (min 500K VND)\n- Mortgage processing: 0.5% of loan amount (min 1M VND)\n- Business loan processing: 0.3% of loan amount (min 2M VND)"", ""### Business Loans\nBusiness loans for SMEs range from 100 million to 10 billion VND. Collateral requirements vary: secured loans require 120% collateral coverage, while credit-based loans are available for existing customers with good track records. The approval process takes 5-7 business days for secured loans and 10-15 days for credit-based loans.\n\n## Credit Cards""]",simple
What is the fee for a paper account statement?,"Account statement (paper) costs 20,000 VND per copy.","[""- Account statement (paper): 20,000 VND per copy\n- Account statement (email): Free\n- Balance confirmation letter: 100,000 VND\n- Notarized copies: 50,000 VND each\n- Account freeze/unfreeze: Free (fraud-related), 100,000 VND (customer request)"", ""### Standard Credit Card\nThe standard credit card has an annual fee of 300,000 VND with a credit limit from 10 million to 100 million VND. The interest-free period is 45 days for full payment. Cash advance fee is 3% of the transaction amount with a minimum of 50,000 VND. Late payment penalty is 4% of the minimum payment amount."", ""### Account Opening Requirements\nTo open an account, customers must be at least 18 years old and present a valid CCCD (Citizen Identity Card) or passport. For foreign nationals, a valid visa or residence card is required in addition to a passport. The account opening process takes approximately 15-30 minutes at any branch.""]",simple
Thời gian phục hồi mục tiêu (RTO) là bao lâu?,Thời gian phục hồi mục tiêu (RTO) là 4 giờ.,"[""### Phòng Chống Rửa Tiền (AML)\nNgân hàng tuân thủ Luật Phòng chống rửa tiền 2022. Giao dịch tiền mặt từ 300 triệu VND trở lên phải báo cáo cho Cục Phòng chống rửa tiền. Hệ thống giám sát tự động phát hiện các mẫu giao dịch bất thường và gian lận.\n\n### Sao Lưu và Phục Hồi\nDữ liệu được sao lưu hàng ngày tại 2 trung tâm dữ liệu khác nhau. Thời gian phục hồi mục tiêu (RTO) là 4 giờ và điểm phục hồi mục tiêu (RPO) là 1 giờ. Kiểm thử khôi phục thảm họa được thực hiện 2 lần mỗi năm."", ""# Chính Sách Ngân Hàng — Hướng Dẫn Nội Bộ\n\n## Quy Trình Xử Lý Khiếu Nại\n\n### Tiếp Nhận Khiếu Nại\nKhiếu nại của khách hàng được tiếp nhận qua 4 kênh: quầy giao dịch, tổng đài 1900-xxxx, email support@bank.vn, và ứng dụng mobile banking. Thời gian phản hồi ban đầu không quá 24 giờ làm việc. Mỗi khiếu nại được gán mã số và theo dõi trên hệ thống CRM."", ""### Phân Loại Khiếu Nại\nKhiếu nại được phân thành 3 cấp độ: Cấp 1 (đơn giản, xử lý trong 3 ngày), Cấp 2 (phức tạp, xử lý trong 7 ngày), Cấp 3 (nghiêm trọng, xử lý trong 15 ngày). Khiếu nại liên quan đến gian lận tài chính luôn được phân loại Cấp 3.\n\n### Bồi Thường và Đền Bù\nTrường hợp lỗi do ngân hàng, khách hàng được hoàn trả 100% số tiền bị ảnh hưởng cộng lãi suất phạt 150% lãi suất tiết kiệm hiện hành. Thời gian hoàn tiền không quá 5 ngày làm việc kể từ khi xác nhận lỗi.""]",simple
What happens after 5 consecutive failed login attempts?,Account lockout occurs after 5 consecutive failed login attempts.,"[""### Password Policy\nPasswords must be at least 8 characters long, containing uppercase, lowercase, numbers, and special characters. Passwords expire every 90 days and cannot be reused for 12 cycles. Account lockout occurs after 5 consecutive failed login attempts."", ""### Mobile Banking App\nThe mobile banking app supports biometric login (fingerprint and face recognition), QR code payments, mobile top-up, and instant notifications. The app is available on iOS 14+ and Android 10+. Peer-to-peer transfers are instant and free for amounts under 10 million VND."", ""### Early Repayment Fees\n- Within first year: 3% of remaining balance\n- After first year: 2% of remaining balance\n- After third year: 1% of remaining balance\n- After fifth year: Free\n\n## Safe Deposit Box\n\n| Box Size | Annual Rental |\n|---|---|\n| Small (15x25 cm) | 1,000,000 VND |\n| Medium (25x35 cm) | 2,000,000 VND |\n| Large (35x50 cm) | 3,500,000 VND |\n\nDeposit required: 500,000 VND (refundable)\nInsurance included: up to 100 million VND\n\n## Special Services""]",simple
How long does the credit approval process take for secured loans?,The approval process takes 5-7 business days for secured loans.,"[""### Business Loans\nBusiness loans for SMEs range from 100 million to 10 billion VND. Collateral requirements vary: secured loans require 120% collateral coverage, while credit-based loans are available for existing customers with good track records. The approval process takes 5-7 business days for secured loans and 10-15 days for credit-based loans.\n\n## Credit Cards"", ""### Personal Loans\nPersonal loans are available for amounts from 10 million to 500 million VND. Interest rates start at 8.5% per annum for secured loans and 12% for unsecured loans. Loan terms range from 6 months to 60 months. Required documents include proof of income, identification (CCCD), and proof of residence."", ""### Account Opening Requirements\nTo open an account, customers must be at least 18 years old and present a valid CCCD (Citizen Identity Card) or passport. For foreign nationals, a valid visa or residence card is required in addition to a passport. The account opening process takes approximately 15-30 minutes at any branch.""]",simple
Giao dịch tiền mặt từ bao nhiêu phải báo cáo cho Cục Phòng chống rửa tiền?,Giao dịch tiền mặt từ 300 triệu VND trở lên phải báo cáo cho Cục Phòng chống rửa tiền.,"[""### Phòng Chống Rửa Tiền (AML)\nNgân hàng tuân thủ Luật Phòng chống rửa tiền 2022. Giao dịch tiền mặt từ 300 triệu VND trở lên phải báo cáo cho Cục Phòng chống rửa tiền. Hệ thống giám sát tự động phát hiện các mẫu giao dịch bất thường và gian lận.\n\n### Sao Lưu và Phục Hồi\nDữ liệu được sao lưu hàng ngày tại 2 trung tâm dữ liệu khác nhau. Thời gian phục hồi mục tiêu (RTO) là 4 giờ và điểm phục hồi mục tiêu (RPO) là 1 giờ. Kiểm thử khôi phục thảm họa được thực hiện 2 lần mỗi năm."", ""### Xác Thực Khách Hàng\nXác thực giao dịch trực tuyến sử dụng OTP qua SMS hoặc ứng dụng Smart OTP. Giao dịch trên 50 triệu VND yêu cầu xác thực sinh trắc học (vân tay hoặc nhận diện khuôn mặt). Phiên đăng nhập tự động hết hạn sau 5 phút không hoạt động."", ""## Chính Sách Lãi Suất\n\n### Lãi Suất Tiền Gửi\nLãi suất tiền gửi được điều chỉnh hàng quý dựa trên lãi suất cơ bản của NHNN. Biên độ dao động từ +0.5% đến +2.5% tùy theo kỳ hạn và số dư. Lãi suất ưu đãi áp dụng cho khách hàng VIP với số dư trên 1 tỷ VND.""]",simple
What is the early withdrawal penalty rate for fixed deposits?,Early withdrawal results in a penalty rate of 0.5% per annum.,"[""### Fixed Deposit Account\nFixed deposits offer higher interest rates ranging from 5.0% to 7.5% per annum depending on the term. Available terms include 1, 3, 6, 12, 18, and 24 months. Early withdrawal results in a penalty rate of 0.5% per annum. The minimum deposit is 10 million VND for standard terms and 50 million VND for premium rates."", ""### Standard Credit Card\nThe standard credit card has an annual fee of 300,000 VND with a credit limit from 10 million to 100 million VND. The interest-free period is 45 days for full payment. Cash advance fee is 3% of the transaction amount with a minimum of 50,000 VND. Late payment penalty is 4% of the minimum payment amount."", ""# Banking Products & Services Guide\n\n## Savings Accounts\n\n### Regular Savings Account\nA regular savings account offers a competitive interest rate of 4.5% per annum for balances above 10 million VND. The minimum opening balance is 500,000 VND. Interest is calculated daily and paid monthly. Customers can make unlimited withdrawals but must maintain the minimum balance.""]",simple
What is the maximum personal loan amount?,Personal loans are available for amounts from 10 million to 500 million VND.,"[""### Home Mortgage Loans\nMortgage loans cover up to 70% of property value with interest rates from 7.5% to 9.5% per annum. The maximum loan term is 25 years. Borrowers must have a stable income of at least 3 times the monthly repayment amount. Property appraisal is conducted by the bank at no extra cost for the first assessment."", ""### Credit Card Fees\n- Standard annual fee: 300,000 VND\n- Premium annual fee: 1,500,000 VND\n- Late payment penalty: 4% of minimum payment\n- Cash advance: 3% (min 50,000 VND)\n- Foreign transaction fee: 2.5%\n- Over-limit fee: 200,000 VND\n- Card replacement: 150,000 VND\n\n## Loan Fees\n\n### Processing Fees\n- Personal loan processing: 1% of loan amount (min 500K VND)\n- Mortgage processing: 0.5% of loan amount (min 1M VND)\n- Business loan processing: 0.3% of loan amount (min 2M VND)"", ""### International Wire Transfers\nInternational transfers support SWIFT and Telex with processing time of 1-3 business days. Fees include a flat fee of 250,000 VND plus 0.05% of the transfer amount (minimum 200,000 VND, maximum 2 million VND). Available currencies include USD, EUR, GBP, JPY, SGD, and CNY.\n\n## Account Management""]",simple
What operating systems does the mobile banking app support?,The app is available on iOS 14+ and Android 10+.,"[""### Online Savings Account\nThe online savings account provides a 0.3% bonus interest rate compared to regular savings. Available exclusively through the mobile banking app and internet banking platform. No minimum balance requirement and no monthly maintenance fees.\n\n## Loan Products"", ""### Mobile Banking App\nThe mobile banking app supports biometric login (fingerprint and face recognition), QR code payments, mobile top-up, and instant notifications. The app is available on iOS 14+ and Android 10+. Peer-to-peer transfers are instant and free for amounts under 10 million VND."", ""### Fraud Prevention\nThe bank employs real-time transaction monitoring using AI-based anomaly detection. Suspicious transactions trigger automatic alerts via SMS and email. Customers can instantly freeze their cards through the mobile app. All online transactions require OTP verification for amounts exceeding 5 million VND.""]",simple
How long does same-bank transfer take?,Same-bank transfers are instant and free.,"[""### Domestic Transfers\n- Same bank: Free\n- Interbank (NAPAS) up to 500M VND: 11,000 VND\n- Interbank (NAPAS) 500M - 1B VND: 22,000 VND\n- Urgent transfer (within 30 minutes): additional 33,000 VND\n\n### International Transfers\n- SWIFT outgoing: 250,000 VND + 0.05% (min 200K, max 2M VND)\n- SWIFT incoming: 100,000 VND flat\n- Telex transfer: 300,000 VND + 0.05%\n\n## Card Fees"", ""### Domestic Transfers\nDomestic bank transfers are processed within 1-2 hours during business hours (8:00 AM to 5:00 PM). Same-bank transfers are instant and free. Interbank transfers via NAPAS cost 11,000 VND for amounts up to 500 million VND."", ""### Password Policy\nPasswords must be at least 8 characters long, containing uppercase, lowercase, numbers, and special characters. Passwords expire every 90 days and cannot be reused for 12 cycles. Account lockout occurs after 5 consecutive failed login attempts.""]",simple
Phí giải ngân là bao nhiêu?,"Phí giải ngân là 0.1% giá trị khoản vay, tối thiểu 500,000 VND.","[""### Giải Ngân\nGiải ngân được thực hiện trong vòng 2 ngày làm việc sau khi hoàn tất thủ tục pháp lý. Đối với khoản vay trên 5 tỷ VND, giải ngân theo tiến độ dự án. Phí giải ngân là 0.1% giá trị khoản vay, tối thiểu 500,000 VND.\n\n## Chính Sách Bảo Mật"", ""### Phòng Chống Rửa Tiền (AML)\nNgân hàng tuân thủ Luật Phòng chống rửa tiền 2022. Giao dịch tiền mặt từ 300 triệu VND trở lên phải báo cáo cho Cục Phòng chống rửa tiền. Hệ thống giám sát tự động phát hiện các mẫu giao dịch bất thường và gian lận.\n\n### Sao Lưu và Phục Hồi\nDữ liệu được sao lưu hàng ngày tại 2 trung tâm dữ liệu khác nhau. Thời gian phục hồi mục tiêu (RTO) là 4 giờ và điểm phục hồi mục tiêu (RPO) là 1 giờ. Kiểm thử khôi phục thảm họa được thực hiện 2 lần mỗi năm."", ""### Lãi Suất Cho Vay\nLãi suất cho vay được tính theo công thức: Lãi suất cơ bản + Biên độ rủi ro + Phí quản lý. Biên độ rủi ro dao động từ 1% đến 5% tùy theo xếp hạng tín dụng của khách hàng. Khách hàng có lịch sử tín dụng tốt (xếp hạng A trở lên) được giảm 0.5% biên độ.\n\n## Quy Trình Phê Duyệt Tín Dụng""]",simple
"If a customer has 20 million VND in a regular savings account, how much interest would they earn annually?","With a balance of 20 million VND (above the 10 million threshold), the customer earns 4.5% per annum, which equals 900,000 VND annually.","[""# Banking Fees and Charges Schedule\n\n## Account Maintenance Fees\n\n| Account Type | Monthly Fee | Waiver Condition |\n|---|---|---|\n| Regular Savings | 10,000 VND | Balance > 1M VND |\n| Premium Savings | Free | Always free |\n| Checking Account | 20,000 VND | Salary account |\n| Student Account | Free | Valid student ID |\n\n## Transfer Fees"", ""# Banking Products & Services Guide\n\n## Savings Accounts\n\n### Regular Savings Account\nA regular savings account offers a competitive interest rate of 4.5% per annum for balances above 10 million VND. The minimum opening balance is 500,000 VND. Interest is calculated daily and paid monthly. Customers can make unlimited withdrawals but must maintain the minimum balance."", ""### Online Savings Account\nThe online savings account provides a 0.3% bonus interest rate compared to regular savings. Available exclusively through the mobile banking app and internet banking platform. No minimum balance requirement and no monthly maintenance fees.\n\n## Loan Products""]",reasoning
Can a customer with income of 15 million VND per month qualify for a mortgage with 5 million VND monthly repayment?,"Yes. Borrowers must have a stable income of at least 3 times the monthly repayment. 15M >= 3 * 5M = 15M, so they qualify.","[""### Home Mortgage Loans\nMortgage loans cover up to 70% of property value with interest rates from 7.5% to 9.5% per annum. The maximum loan term is 25 years. Borrowers must have a stable income of at least 3 times the monthly repayment amount. Property appraisal is conducted by the bank at no extra cost for the first assessment."", ""# Banking Products & Services Guide\n\n## Savings Accounts\n\n### Regular Savings Account\nA regular savings account offers a competitive interest rate of 4.5% per annum for balances above 10 million VND. The minimum opening balance is 500,000 VND. Interest is calculated daily and paid monthly. Customers can make unlimited withdrawals but must maintain the minimum balance."", ""### Personal Loans\nPersonal loans are available for amounts from 10 million to 500 million VND. Interest rates start at 8.5% per annum for secured loans and 12% for unsecured loans. Loan terms range from 6 months to 60 months. Required documents include proof of income, identification (CCCD), and proof of residence.""]",reasoning
