question,answer,ground_truth,evolution_type,faithfulness,answer_relevancy,context_precision,context_recall,avg_score
How long does account closure take?,### Account Closure Account closure requires a written request and valid identification,Account closure is processed within 5 business days.,simple,0.4535,0.4077,0.048,0.1333,0.2606
What is the password expiry period?,The interest-free period is 45 days for full payment,Passwords expire every 90 days and cannot be reused for 12 cycles.,simple,0.4577,0.4615,0.0541,0.1154,0.2722
Lãi suất tiền gửi được điều chỉnh bao lâu một lần?,## Chính Sách Lãi Suất  ### Lãi Suất Tiền Gửi Lãi suất tiền gửi được điều chỉnh hàng quý dựa trên lãi suất cơ bản của NHNN,Lãi suất tiền gửi được điều chỉnh hàng quý dựa trên lãi suất cơ bản của NHNN.,simple,0.4829,0.5333,0.0846,0.8824,0.4958
Thời gian phản hồi khiếu nại ban đầu là bao lâu?,Thời gian phản hồi ban đầu không quá 24 giờ làm việc,Thời gian phản hồi ban đầu không quá 24 giờ làm việc.,simple,0.4439,0.5471,0.0761,1.0,0.5168
What is the foreign transaction fee for credit cards?,"Cash advance fee is 3% of the transaction amount with a minimum of 50,000 VND",Foreign transaction fee is 2.5%.,simple,0.5034,0.44,0.1056,0.1667,0.3039
What is the fee for a paper account statement?,"Cash advance fee is 3% of the transaction amount with a minimum of 50,000 VND","Account statement (paper) costs 20,000 VND per copy.",simple,0.4978,0.44,0.1083,0.0909,0.2843
Thời gian phục hồi mục tiêu (RTO) là bao lâu?,Thời gian phục hồi mục tiêu (RTO) là 4 giờ và điểm phục hồi mục tiêu (RPO) là 1 giờ,Thời gian phục hồi mục tiêu (RTO) là 4 giờ.,simple,0.4512,0.65,0.0589,0.7143,0.4686
What happens after 5 consecutive failed login attempts?,Account lockout occurs after 5 consecutive failed login attempts.,Account lockout occurs after 5 consecutive failed login attempts.,simple,0.4535,0.6818,0.0703,1.0,0.5514
How long does the credit approval process take for secured loans?,The approval process takes 5-7 business days for secured loans and 10-15 days for credit-based loans,The approval process takes 5-7 business days for secured loans.,simple,0.5011,0.545,0.0943,0.6875,0.457
Giao dịch tiền mặt từ bao nhiêu phải báo cáo cho Cục Phòng chống rửa tiền?,Giao dịch tiền mặt từ 300 triệu VND trở lên phải báo cáo cho Cục Phòng chống rửa tiền,Giao dịch tiền mặt từ 300 triệu VND trở lên phải báo cáo cho Cục Phòng chống rửa tiền.,simple,0.4794,0.755,0.0938,1.0,0.5821
What is the early withdrawal penalty rate for fixed deposits?,Early withdrawal results in a penalty rate of 0.5% per annum,Early withdrawal results in a penalty rate of 0.5% per annum.,simple,0.4742,0.4556,0.1175,1.0,0.5118
What is the maximum personal loan amount?,The maximum loan term is 25 years,Personal loans are available for amounts from 10 million to 500 million VND.,simple,0.4378,0.58,0.0753,0.0789,0.293
What operating systems does the mobile banking app support?,Available exclusively through the mobile banking app and internet banking platform,The app is available on iOS 14+ and Android 10+.,simple,0.4645,0.4867,0.0898,0.25,0.3227
How long does same-bank transfer take?,"### Domestic Transfers - Same bank: Free - Interbank (NAPAS) up to 500M VND: 11,000 VND - Interbank (NAPAS) 500M - 1B VND: 22,000 VND - Urgent transfer (within 30 minutes): additional 33,000 VND  ### International Transfers - SWIFT outgoing: 250,000 VND + 0.05% (min 200K, max 2M VND) - SWIFT incoming: 100,000 VND flat - Telex transfer: 300,000 VND + 0.05%  ## Card Fees",Same-bank transfers are instant and free.,simple,0.6629,0.3488,0.0491,0.0952,0.289
Phí giải ngân là bao nhiêu?,"Phí giải ngân là 0.1% giá trị khoản vay, tối thiểu 500,000 VND","Phí giải ngân là 0.1% giá trị khoản vay, tối thiểu 500,000 VND.",simple,0.4647,0.4647,0.0431,1.0,0.4931
"If a customer has 20 million VND in a regular savings account, how much interest would they earn annually?",# Banking Products & Services Guide  ## Savings Accounts  ### Regular Savings Account A regular savings account offers a competitive interest rate of 4.5% per annum for balances above 10 million VND,"With a balance of 20 million VND (above the 10 million threshold), the customer earns 4.5% per annum, which equals 900,000 VND annually.",reasoning,0.58,0.44,0.1191,0.2778,0.3542
Can a customer with income of 15 million VND per month qualify for a mortgage with 5 million VND monthly repayment?,# Banking Products & Services Guide  ## Savings Accounts  ### Regular Savings Account A regular savings account offers a competitive interest rate of 4.5% per annum for balances above 10 million VND,"Yes. Borrowers must have a stable income of at least 3 times the monthly repayment. 15M >= 3 * 5M = 15M, so they qualify.",reasoning,0.5398,0.4441,0.1648,0.1284,0.3193
What is the total cost for an international SWIFT transfer of 100 million VND?,"### Standard Credit Card The standard credit card has an annual fee of 300,000 VND with a credit limit from 10 million to 100 million VND","The cost is 250,000 VND flat fee + 0.05% of 100M = 50,000 VND. But minimum is 200,000 VND, so total = 250,000 + 200,000 = 450,000 VND.",reasoning,0.529,0.45,0.1397,0.1471,0.3165
"If someone withdraws a fixed deposit of 50M VND after 3 months from a 12-month term, what interest rate applies?",### Fixed Deposit Account Fixed deposits offer higher interest rates ranging from 5.0% to 7.5% per annum depending on the term,Early withdrawal results in a penalty rate of 0.5% per annum instead of the original higher rate (5-7.5%).,reasoning,0.5224,0.4,0.1409,0.2333,0.3242
"Nếu khách hàng bị lỗi do ngân hàng với số tiền 10 triệu VND và lãi suất tiết kiệm là 4.5%, thì được bồi thường bao nhiêu?","### Bồi Thường và Đền Bù Trường hợp lỗi do ngân hàng, khách hàng được hoàn trả 100% số tiền bị ảnh hưởng cộng lãi suất phạt 150% lãi suất tiết kiệm hiện hành",Khách hàng được hoàn 100% (10 triệu) + lãi suất phạt 150% lãi suất tiết kiệm = 150% * 4.5% = 6.75% trên 10 triệu.,reasoning,0.5154,0.5732,0.1681,0.2973,0.3885
How much does a premium credit card holder need to spend to get the annual fee waived?,"### Standard Credit Card The standard credit card has an annual fee of 300,000 VND with a credit limit from 10 million to 100 million VND","The premium annual fee of 1,500,000 VND is waived if annual spending exceeds 200 million VND.",reasoning,0.5579,0.469,0.1505,0.2414,0.3547
What is the maximum mortgage loan amount for a property valued at 3 billion VND?,Borrowers must have a stable income of at least 3 times the monthly repayment amount,Mortgage loans cover up to 70% of property value. 70% of 3 billion = 2.1 billion VND.,reasoning,0.4811,0.44,0.139,0.1161,0.294
"If an early repayment is made 2 years into a loan, what percentage penalty applies?",The maximum loan term is 25 years,"After first year but before third year, the early repayment fee is 2% of remaining balance.",reasoning,0.4389,0.4105,0.0801,0.1,0.2574
Quy trình thẩm định tín dụng mất tối đa bao nhiêu ngày?,"### Quy Trình Thẩm Định Quy trình thẩm định gồm 4 bước: (1) Kiểm tra hồ sơ ban đầu (1 ngày), (2) Thẩm định tài sản (2-3 ngày), (3) Xếp hạng tín dụng nội bộ (1 ngày), (4) Phê duyệt bởi Hội đồng tín dụng (1-2 ngày)",Tổng thời gian tối đa: 1 ngày (kiểm tra) + 3 ngày (thẩm định tài sản) + 1 ngày (xếp hạng) + 2 ngày (phê duyệt) = 7 ngày.,reasoning,0.5241,0.44,0.0685,0.3889,0.3554
Is the online savings account more cost-effective than a regular savings account for small balances?,# Banking Products & Services Guide  ## Savings Accounts  ### Regular Savings Account A regular savings account offers a competitive interest rate of 4.5% per annum for balances above 10 million VND,"Yes. Online savings has no minimum balance, no monthly fees, and +0.3% bonus interest rate compared to regular savings.",reasoning,0.58,0.4312,0.1283,0.1951,0.3337
What is the minimum collateral value required for a secured business loan of 1 billion VND?,### Business Loans Business loans for SMEs range from 100 million to 10 billion VND,Secured loans require 120% collateral coverage. 120% of 1 billion = 1.2 billion VND collateral.,reasoning,0.4727,0.4167,0.1287,0.15,0.292
How much would a customer save annually by choosing interbank transfers via NAPAS instead of SWIFT for domestic transfers?,"Interbank transfers via NAPAS cost 11,000 VND for amounts up to 500 million VND.","NAPAS interbank costs 11,000 VND per transfer. SWIFT would be much more expensive at 250,000+ VND per transfer. Savings depend on volume.",reasoning,0.4977,0.4296,0.1098,0.1724,0.3024
Khách hàng VIP với số dư trên 1 tỷ VND được ưu đãi gì về lãi suất?,Lãi suất ưu đãi áp dụng cho khách hàng VIP với số dư trên 1 tỷ VND.,"Lãi suất ưu đãi áp dụng cho khách hàng VIP với số dư trên 1 tỷ VND, biên độ dao động từ +0.5% đến +2.5%.",reasoning,0.4829,0.79,0.1732,0.6538,0.525
Compare the security measures for online banking transactions vs ATM withdrawals.,All online transactions require OTP verification for amounts exceeding 5 million VND.,"Online banking uses 2FA via OTP for all transactions and OTP for amounts >5M VND. ATM uses physical card + PIN, and supports cardless QR withdrawal.",multi_context,0.4706,0.405,0.075,0.2692,0.305
What are all the fees associated with using a standard credit card internationally?,"### Standard Credit Card The standard credit card has an annual fee of 300,000 VND with a credit limit from 10 million to 100 million VND","Foreign transaction fee: 2.5%, cash advance: 3% (min 50K), plus the standard annual fee of 300,000 VND. ATM international withdrawal: 50,000 VND + 2%.",multi_context,0.5395,0.4556,0.1075,0.2353,0.3345
Compare interest rates between savings accounts and personal loan rates to calculate the spread.,### Online Savings Account The online savings account provides a 0.3% bonus interest rate compared to regular savings,"Savings: 4.5% regular, up to 7.5% fixed deposit. Personal loans: 8.5% secured, 12% unsecured. Spread ranges from 1% to 7.5%.",multi_context,0.4955,0.4217,0.1268,0.1263,0.2926
What are the complete KYC requirements and data protection measures for new account opening?,### KYC and Compliance All accounts are subject to Know Your Customer (KYC) requirements,"KYC: valid CCCD/passport, age ≥18. Enhanced due diligence for PEPs. Data protection: AES-256 encryption, TLS 1.3, 10-year retention, Circular 09/2020 compliance.",multi_context,0.4673,0.4273,0.1068,0.2091,0.3026
So sánh quy trình xử lý khiếu nại cấp 1 và cấp 3 về thời gian và mức độ nghiêm trọng.,"### Phân Loại Khiếu Nại Khiếu nại được phân thành 3 cấp độ: Cấp 1 (đơn giản, xử lý trong 3 ngày), Cấp 2 (phức tạp, xử lý trong 7 ngày), Cấp 3 (nghiêm trọng, xử lý trong 15 ngày)","Cấp 1: đơn giản, xử lý 3 ngày. Cấp 3: nghiêm trọng, xử lý 15 ngày. Khiếu nại gian lận luôn là Cấp 3.",multi_context,0.4972,0.5188,0.1274,0.4815,0.4062
What is the total cost breakdown for taking out a 500M VND mortgage including all fees?,Property appraisal is conducted by the bank at no extra cost for the first assessment.,Mortgage processing: 0.5% of 500M = 2.5M VND (min 1M). Interest: 7.5-9.5% per annum. Disbursement: 0.1% = 500K VND. Property appraisal: free (first).,multi_context,0.4771,0.4077,0.0879,0.1478,0.2801
How do the bank's fraud prevention and AML systems work together to protect customers?,### Fraud Prevention The bank employs real-time transaction monitoring using AI-based anomaly detection,"Fraud prevention: AI-based real-time monitoring, auto alerts, instant card freeze. AML: transactions ≥300M reported, suspicious pattern detection, compliant with 2022 AML law.",multi_context,0.4816,0.412,0.085,0.2759,0.3136
What digital banking features are available across both mobile and internet banking platforms?,Available exclusively through the mobile banking app and internet banking platform,"Both support: balance inquiry, fund transfers, bill payments. Mobile adds: biometric login, QR payments, P2P instant transfers. Internet banking: up to 500M per transaction, customizable limits up to 2B.",multi_context,0.4674,0.5059,0.1212,0.14,0.3086
So sánh chính sách lãi suất cho vay giữa vay cá nhân có tài sản đảm bảo và không có tài sản đảm bảo.,## Chính Sách Lãi Suất  ### Lãi Suất Tiền Gửi Lãi suất tiền gửi được điều chỉnh hàng quý dựa trên lãi suất cơ bản của NHNN,Có TSĐB: 8.5%/năm. Không TSĐB: 12%/năm. Chênh lệch 3.5%. Khách hàng xếp hạng A+ được giảm thêm 0.5%.,multi_context,0.4829,0.3903,0.0885,0.0923,0.2635
What are all the options available for a customer who wants to close their account and transfer remaining funds?,### KYC and Compliance All accounts are subject to Know Your Customer (KYC) requirements,Written request + valid ID. Settle outstanding loans/credit cards. Balance transferred to designated account or cashier's check. Process: 5 business days.,multi_context,0.4713,0.4346,0.1054,0.0513,0.2657
Compare the complete fee structures between standard and premium credit cards.,"### Credit Card Fees - Standard annual fee: 300,000 VND - Premium annual fee: 1,500,000 VND - Late payment penalty: 4% of minimum payment - Cash advance: 3% (min 50,000 VND) - Foreign transaction fee: 2.5% - Over-limit fee: 200,000 VND - Card replacement: 150,000 VND  ## Loan Fees  ### Processing Fees - Personal loan processing: 1% of loan amount (min 500K VND) - Mortgage processing: 0.5% of loan amount (min 1M VND) - Business loan processing: 0.3% of loan amount (min 2M VND)","Standard: 300K annual fee, 10-100M limit, basic rewards. Premium: 1.5M fee (waived at 200M spend), 100-500M limit, lounge access, 2B travel insurance, 2x points on dining/travel.",multi_context,0.7111,0.3571,0.0924,0.1868,0.3369
"Liệt kê tất cả các biện pháp bảo mật từ mật khẩu, OTP, đến mã hóa dữ liệu.",### Giải Ngân Giải ngân được thực hiện trong vòng 2 ngày làm việc sau khi hoàn tất thủ tục pháp lý,"Mật khẩu: 8+ ký tự, hết hạn 90 ngày, khóa sau 5 lần sai. OTP: SMS/Smart OTP, sinh trắc học >50M. Mã hóa: AES-256 (rest), TLS 1.3 (transit). Sao lưu 2 trung tâm.",multi_context,0.4687,0.3412,0.0454,0.0749,0.2325
